thesite,subnum,expcode,posit,obsdate,nobs,daymax,daymin,p_979,p_201
StrawberryHill,1,1,1,14987,144,10.43,6.1,10.43,6.1
StrawberryHill,1,1,1,14988,144,10.43,8.71,10.43,8.71
StrawberryHill,1,1,1,14989,144,10.43,7.55,10.43,8.13
StrawberryHill,1,1,1,14990,144,11.01,2.89,10.72,3.18
StrawberryHill,1,1,1,14991,144,10.43,3.18,10.43,4.94
StrawberryHill,1,1,1,14992,144,10.72,9.86,10.43,9.86
StrawberryHill,1,1,1,14993,144,10.14,9.86,10.14,9.86
StrawberryHill,1,1,1,14994,144,10.43,10.14,10.43,10.14
StrawberryHill,1,1,1,14995,144,10.14,9.86,10.14,10.14
StrawberryHill,1,1,1,14996,144,10.43,10.14,10.43,10.14
StrawberryHill,1,1,1,14997,144,10.72,7.26,10.43,7.26
StrawberryHill,1,1,1,14998,144,10.14,9.28,10.14,9.28
StrawberryHill,1,1,1,14999,144,10.14,7.26,10.14,7.84
StrawberryHill,1,1,1,15000,144,9.86,6.97,9.86,7.55
StrawberryHill,1,1,1,15001,144,10.14,7.84,10.14,8.13
StrawberryHill,1,1,1,15002,144,10.14,4.36,10.14,4.36
StrawberryHill,1,1,1,15003,144,9.86,8.42,9.86,8.42
StrawberryHill,1,1,1,15004,144,9.86,4.65,9.86,4.94
StrawberryHill,1,1,1,15005,144,10.14,5.52,9.86,5.81
StrawberryHill,1,1,1,15006,144,10.14,9.57,10.14,9.57
StrawberryHill,1,1,1,15007,144,10.72,9.86,10.72,9.86
StrawberryHill,1,1,1,15008,144,10.14,9.86,10.14,9.86
StrawberryHill,1,1,1,15009,144,10.14,9.28,10.14,9.28
StrawberryHill,1,1,1,15010,144,11.59,9.86,11.3,9.86
StrawberryHill,1,1,1,15011,144,11.88,6.39,11.3,6.39
StrawberryHill,1,1,1,15012,144,10.43,3.48,10.14,3.48
StrawberryHill,1,1,1,15013,144,9.86,2.89,9.86,2.89
StrawberryHill,1,1,1,15014,144,10.14,4.94,10.14,4.94
StrawberryHill,1,1,1,15015,144,9.86,6.68,9.86,6.97
StrawberryHill,1,1,1,15016,144,9.86,4.36,9.86,4.65
StrawberryHill,1,1,1,15017,144,9.57,5.23,9.57,5.23
StrawberryHill,1,1,1,15018,144,18.33,2.89,16.54,3.18
StrawberryHill,1,1,1,15019,144,20.75,4.65,19.83,5.23
StrawberryHill,1,1,1,15020,144,21.98,4.36,21.67,4.94
StrawberryHill,1,1,1,15021,144,11.01,8.42,11.01,8.71
StrawberryHill,1,1,1,15022,144,13.62,9.57,13.32,9.57
StrawberryHill,1,1,1,15023,144,9.86,9.57,9.86,9.57
StrawberryHill,1,1,1,15024,144,13.91,9.28,13.91,9.28
StrawberryHill,1,1,1,15025,144,11.88,9.28,11.3,9.57
StrawberryHill,1,1,1,15026,144,10.43,9.57,10.14,9.57
StrawberryHill,1,1,1,15027,144,9.86,8.99,9.86,8.99
StrawberryHill,1,1,1,15028,144,9.86,7.84,9.86,8.13
StrawberryHill,1,1,1,15029,144,10.14,5.23,10.14,5.52
StrawberryHill,1,1,1,15030,144,10.14,6.68,10.14,6.68
StrawberryHill,1,1,1,15031,144,9.86,6.68,9.86,6.97
StrawberryHill,1,1,1,15032,144,10.43,5.52,10.14,5.81
StrawberryHill,1,1,1,15033,144,22.61,5.81,19.83,5.81
StrawberryHill,1,1,1,15034,144,11.01,9.57,10.72,9.57
StrawberryHill,1,1,1,15035,144,9.86,9.86,9.86,9.86
StrawberryHill,1,1,1,15036,144,10.43,9.57,10.43,9.57
StrawberryHill,1,1,1,15037,144,10.43,9.57,10.14,9.57
StrawberryHill,1,1,1,15038,144,10.72,9.57,10.14,9.57
StrawberryHill,1,1,1,15039,144,11.88,9.57,11.3,9.57
StrawberryHill,1,1,1,15040,144,11.88,9.57,11.59,9.86
StrawberryHill,1,1,1,15041,144,11.3,9.57,11.01,9.86
StrawberryHill,1,1,1,15042,144,10.14,7.55,10.14,7.55
StrawberryHill,1,1,1,15043,144,10.14,8.13,10.14,8.42
StrawberryHill,1,1,1,15044,144,10.14,6.97,10.14,6.97
StrawberryHill,1,1,1,15045,144,10.14,7.84,10.14,7.84
StrawberryHill,1,1,1,15046,144,23.56,6.68,20.44,6.97
StrawberryHill,1,1,1,15047,144,10.43,9.57,10.43,9.57
StrawberryHill,1,1,1,15048,144,14.49,9.86,13.32,9.86
StrawberryHill,1,1,1,15049,144,10.14,8.71,10.14,8.71
