Date,Trap#,New/Recap,Spp.,Tag (one),Tag (two),Sex,Age,Wt,Condition,Remarks,,,,,
18-may,B6,N,Mg,3864,,M,OW,18,S,,,,,,
21-may,C4,R,Mg,3864,,M,OW,19,S,,,,,,
22-may,C2,R,Mg,3864,,M,OW,19,S,,,,,,
22-may,B6,N,Mg,3868,3682,M,OW,16.5,NS,,,,,,
27-may,C5,R,Mg,3864,,M,OW,,,This station was missed on 22-May. Vole was found dead in trap while setting.,,,,,
28-may,B6,R,Mg,3682,,M,OW,16,NS,"lost first tag (3868), given new one (3682)",,,,,
29-may,B1,R,Mg,3682,,M,OW,17.5,NS,,,,,,
02-jun,E6,R,Mg,3682,,M,OW,18,NS,Resident,,,,,
06-jun,B6,N,Mg,3275,4113,M,OW,20,S,,,,,,
06-jun,D7,R,Mg,3682,,M,OW,16.5,?,,,,,,
07-jun,F7,R,Mg,3682,,M,OW,16.5,S,,,,,,
12-jun,C14,R,Mg,3275,4113,M,OW,22.5,NS,,,,,,
12-jun,C13,N,Mg,3487,,M,OW,21,NS,,,,,,
13-jun,C14,O,Mg,3487,4123,M,OW,19.5,S,added 2nd tag (4123),,,,,
16-jun,C14,R,Mg,4123,,M,OW,20.5,NS,,,,,,
16-jun,D15,R,Mg,3275,4113,M,OW,21.5,S,,,,,,
17-jun,C13,R,Mg,4123,,M,OW,20.5,?,"missing right ear tag (3487), RESIDENT",,,,,
21-jun,D15,R,Mg,3275,4113,M,OW,22,S,Resident,,,,,
22-jun,B13,R,Mg,4139,,M,OW,19,S,used to be 3487-4123,,,,,
22-jun,D15,R,Mg,,,,,,,"escaped, had 2 ear tags, probably 3275-4113",,,,,
26-jun,D15,R,Mg,3275,4113,M,OW,22.5,S,,,,,,
27-jun,B14,R,Mg,4139,,M,OW,21.5,NS,,,,,,
01-jul,D15,R,Mg,3275,4113,M,OW,22,S,,,,,,
01-jul,C14,R,Mg,,,,OW,,,escaped (4139?),,,,,
02-jul,B14,R,Mg,4139,,M,OW,21.5,S,,,,,,
02-jul,D15,R,Mg,3275,4113,M,OW,23.5,S?,,,,,,
07-jul,E12,R,Mg,4139,,M,OW,20,S,slightly scrotal (one side),,,,,
12-jul,E12,R,Mg,3275,4113,M,OW,,,escaped,,,,,
12-jul,D14,N,Mg,4270,4271,M,YY,14.5,S,,,,,,
16-jul,B14,N,Mg,4264,4265,M,YY,14,NB,,,,,,
16-jul,C14,R,Mg,4139,,M,OW,19.5,S,,,,,,
16-jul,E12,N,Mg,4262,4263,F,YY,17.5,B,kept for trials,,,,,
21-jul,E12,R,Mg,4139,,M,OW,20.5,S,,,,,,
26-jul,B15,R,Mg,4139,,M,OW,22,NS,,,,,,
27-jul,E12,R,Mg,4262,4263,F,YY,19.5,NB,,,,,,
27-jul,E12,R,Mg,3275,4113,M,OW,23.5,S,,,,,,
27-jul,D15,R,Mg,4270,4271,M,YY,21,S,,,,,,
27-jul,B15,R,Mg,4139,,M,OW,22.5,S?,,,,,,
27-jul,C14,R,Mg,4264,4265,F,OW,22,B,,,,,,
31-jul,E11,R,Mg,3275,4113,M,OW,23,S,,,,,,
31-jul,E12,R,Mg,4270,4271,M,YY,20.5,S,,,,,,
31-jul,E13,R,Mg,4262,4263,F,YY,18.5,NB,,,,,,
31-jul,C15,R,Mg,4264,4265,F,OW,28.5,Preg,,,,,,
31-jul,C14,R,Mg,4139,,M,OW,20.5,NS,,,,,,
01-ago,E10,N,Mg,4018,4019,M,YY,15.5,S,kept for trials,,,,,
01-ago,E11,R,Mg,3275,4113,M,OW,23,S,field trial,,,,,
01-ago,E12,N,Mg,4031,6649,M,OW,22,S,field trial + kept for trials,,,,,
01-ago,D14,R,Mg,4270,4271,M,OW,20,S,Resident,,,,,
01-ago,D14,R,Mg,4262,4263,F,YY,17,NB,Resident,,,,,
01-ago,C14,R,Mg,4139,,M,OW,21,S,,,,,,
01-ago,C15,R,Mg,4264,4265,F,YY,34,Preg,"Resident (I'm surprised the tech wrote ""YY"" for a pregnant animal)",,,,,
05-ago,E11,R,Mg,4262,4263,F,YY,18.5,NB,,,,,,
05-ago,E15,R,Mg,4270,4271,M,OW,21.5,S,,,,,,
05-ago,C14,R,Mg,,,,,,,escaped,,,,,
06-ago,B14,R,Mg,4139,,M,OW,20.5,NS,T,,,,,
06-ago,B15,R,Mg,4264,4265,F,YY,20.5,L?,T: Nipples starting to show,,,,,
06-ago,E12,R,Mg,4270,4271,M,YY,18.5,NS,T,,,,,
06-ago,D12,R,Mg,,,,,,,"escaped, tagged, at least one in right ear",,,,,
10-ago,E12,R,Mg,4262,4263,F,YY,21.5,NB,T,,,,,
10-ago,E13,R,Mg,4270,4271,M,YY,20.5,NS,T,,,,,
11-ago,G15,R,Mg,4264,4265,F,OW,23,L,green: T,,,,,
11-ago,E12,R,Mg,4139,,M,OW,21,S,"T, slightly scrotal",,,,,
11-ago,E12,R,Mg,4270,4271,M,YY,18.5,NS,T,,,,,
11-ago,E13,R,Mg,4262,4263,F,YY,21,NB,T,,,,,
15-ago,G14,R,Mg,4264,4265,F,YY,24.5,L,green,,,,,
15-ago,E13,R,Mg,4270,4271,M,YY,20.5,NS,,,,,,
15-ago,E14,R,Mg,4262,4263,F,OW,26.5,L,pink,,,,,
16-ago,B14,R,Mg,4264,4265,F,YY,27,L,,,,,,
16-ago,E13,R,Mg,4139,,M,OW,20.5,NS,covered in pink powder-no powder in the trap he was in,,,,,
16-ago,E15,N,Mg,4007,4008,M,YY,15,NS,"penis everted while processing, kept for trials",,,,,
16-ago,D15,R,Mg,4270,4271,M,YY,20.5,NS,,,,,,
16-ago,D14,R,Mg,4262,4263,F,OW,28,L/Preg?,abdomen swollen,,,,,
20-ago,B15,R,Mg,4264,4265,F,YY,26,L,right-hand rump hairless,,,,,
20-ago,D14,R,Mg,4262,4263,F,OW,23.5,NB,nipples slightly visible,,,,,
20-ago,?,R,Mg,4270,4271,M,YY,20.5,NS,,,,,,
21-ago,C14,R,Mg,4139,,M,OW,22,NS,,,,,,
21-ago,C15,R,Mg,4270,4271,M,OW,20.5,NS,,,,,,
21-ago,E15,R,Mg,4018,4019,M,YY,15.5,NS,,,,,,
21-ago,E13,R,Mg,4262,4263,F,YY,22.5,NB,nipples slightly visible,,,,,
