Date,Trap#,New/Recap,Spp.,Tag (one),Tag (two),Sex,Age,Wt,Condition,Remarks,,,
11-May,1G,N,Pm,5217,5218,M,A,16.5,S,Got hair,,,
11-May,1O,N,Pm,5399,5400,M,A,21.5,NS,Got hair,,,
11-May,1D,-,-,-,-,-,-,-,-,Escaped,,,
,5 Broken open traps on May 11,,,,,,,,,,,,
14-May,2B,N,Pm,5390,5391,M,A,18.5,NS,Got hair,,,
14-May,1K,N,Mg,-,-,M,A,28.0,NS,"Biter, escaped before tagging",,,
,2 Broken open traps on May 14,,,,,,,,,,,,
18-May,1B,N,Pm,5264,5265,M,A,23.0,NS,Got hair,,,
18-May,2M,N,Pm,5212,5214,M,A,21.0,NS,Got hair,,,
18-May,2K,R,Pm,5217,5218,M,A,16.5,S,,,,
18-May,1Q,N,Pm,5251,5252,M,A,18.5,NS,Got hair,,,
18-May,1O,N,Mg,5288,5289,F,A,18.0,NB,Got hair,,,
18-May,1M,N,Mg,5290,5291,M,A,16.5,NS,Red fleas,Mis-sexed as F/A/NB originally,,
18-May,2H,N,Mg,5341,5342,F,A,15.5,NB,Got hair,,,
18-May,2E,R,Pm,5390,5391,M,A,16.5,S,,,,
18-May,2F,N,Pi,,,M,A,19.5,NS,Got hair,,,
18-May,1E,N,Ta,,,M,A,51.0,S,Got hair,,,
18-May,2I,R,Ta,,,M,A,48.5,NS,,,,
21-May,2L,R,Pm,5212,5214,M,A,20.0,S,,,,
21-May,1T,R,Pm,5251,5252,M,A,15.5,NS,,,,
21-May,1N,R,Mg,5288,5289,F,A,20.0,NB,Helicopter!,,,
21-May,2I,R,Mg,5290,5291,M,A,17.5,NS,,,,
21-May,2J,R,Mg,5341,5342,F,A,17.0,B,,,,
21-May,2B,R,Pm,5390,5391,M,A,17.5,S,,,,
21-May,1O,,Pm,,,,,,,Escaped,,,
21-May,2A,R,Pm,,,,A,15.0,,Escaped through hole in bag,,,
25-May,1P,N,Pm,3914,DWM 9967,F,A,15.5,NB,"Didn't take hair, too stressed",,,
25-May,2L,R,Pm,5212,5214,M,A,21.0,NS,,,,
25-May,1N,R,Pm,5217,,M,A,21.0,S,"Lost 5218, ear ripped badly",,,
25-May,1T,R,Pm,5251,5252,M,A,19.0,NS,,,,
25-May,1E,R,Pm,5264,5265,M,A,17.0,NS,,,,
25-May,2M,R,Mg,5288,5289,F,A,18.5,NB,,,,
25-May,1O,R,Mg,5291,,M,A,20.0,NS,"Lost 5290, ear ripped badly",,,
25-May,2J,R,Mg,5341,,F,A,18.0,NB,"One tag missing, ear ripped so no retag",,,
25-May,2B,R,Pm,5390,5391,M,A,18.0,S,Feisty!,,,
25-May,1R,N,Pm,DWM 9909DWM 9968,,F,A,16.0,NB,Got hair,,,
25-May,1A,R,Ta,,,M,A,60+,NS,Hair previously taken,,,
25-May,1D,R,Ta,,,M,A,60+,NS,Hair previously taken,,,
25-May,1H,N,Ta,,,F,A,60+,P,Forgot to take hair,,,
25-May,2H,R,Ta,,,M,A,60+,S,,,,
27-May,2J,R,Pm,3914,DWM 9967,F,A,13.0,NB,,,,
27-May,1N,R,Pm,3986,,M,A,17.0,S,"tags missing, 3986 new",,,
27-May,1H,N,Pm,3987,3988,F,A,16.0,NB,Got Hair,,,
27-May,1K,R,Mg,5066,5067,M,A,18.0,S,"Lost both tags, 5066 and 5067 new",,,
27-May,2H,R,Mg,5224,5291,M,A,14.5,S,"Lost 5290 tag, retagged with 5224",,,
27-May,1T,R,Pm,5251,5252,M,A,?,NS,,,,
27-May,2D,R,Pm,5264,5265,M,A,14.5,NS,,,,
