Date,Trap Co-ordinate 1,Trap co-ordinate 2,New/Recap,Spp.,Tag (one),Tag (two),Sex,Age,Wt,Condition,Remarks
8-May-85,60,100,,Pm,3713,3714,F,OW,18.5,NB,
9-May-85,60,240,R,Pm,3713,3714,F,OW,19,NB,
9-May-85,60,140,R,Pm,3715,3725,F,OW,19,NB,
9-May-85,60,240,,Pm,2355,3604,M,OW,18.5,NS,
9-May-85,60,120,,Pm,3715,3725,F,OW,19,NB,
9-May-85,60,240,,Pm,3717,3718,M,OW,19.5,NS,
10-May-85,60,320,R,Pm,2281,4992,F,OW,16,NB,formerly 3729/3730
10-May-85,60,300,R,Pm,2281,4992,F,OW,16,NB,
10-May-85,60,240,R,Pm,2355,3604,M,OW,18.5,S,
10-May-85,60,220,R,Pm,2355,3604,M,OW,18.5,S,
10-May-85,60,240,R,Pm,3713,3714,F,OW,,NB,
10-May-85,60,260,R,Pm,3715,3725,F,OW,19.5,NB,
10-May-85,60,200,R,Pm,3717,3718,M,OW,19,S,
10-May-85,60,240,R,Pm,3717,3718,M,OW,19,S,
10-May-85,60,280,R,Pm,3727,3739,F,OW,17,NB,
10-May-85,80,340,,Pm,3720,,F,OW,21.5,NB,
10-May-85,60,260,,Pm,3727,3739,F,OW,17,NB,
11-May-85,60,280,R,Pm,2281,4992,F,OW,16,NB,
11-May-85,60,200,R,Pm,2355,3604,M,OW,17,S,
11-May-85,60,240,R,Pm,3713,3714,F,OW,17.5,NB,
11-May-85,60,260,R,Pm,3715,3725,F,OW,19,NB,
11-May-85,60,240,R,Pm,3717,3718,M,OW,19,S,
11-May-85,60,300,R,Pm,3727,3739,F,OW,18.5,NB,
11-May-85,60,280,,Pm,3737,3738,F,OW,15.5,NB,
13-May-85,60,320,R,Pm,2281,4992,F,OW,15,NB,
13-May-85,20,200,R,Pm,2355,3604,M,OW,20,S,
13-May-85,100,40,R,Pm,3715,3725,F,OW,18.5,NB,
13-May-85,100,40,R,Pm,3715,3725,F,OW,18.5,NB,
13-May-85,60,280,R,Pm,3717,3718,M,OW,20,S,
13-May-85,60,280,R,Pm,3717,3718,M,OW,20,S,
13-May-85,20,220,R,Pm,3727,3739,F,OW,18,NB,
13-May-85,20,300,R,Pm,3737,3738,F,OW,17,NB,
13-May-85,0,200,,Pm,3741,3760,F,OW,20,NB,
14-May-85,20,220,R,Pm,2281,4992,F,OW,15.5,NB,
14-May-85,60,200,R,Pm,2355,3604,M,OW,16.5,S,
14-May-85,80,80,R,Pm,3713,3714,F,OW,18.5,Preg,
14-May-85,80,40,R,Pm,3715,3725,F,OW,19,B,
14-May-85,0,200,R,Pm,3717,3718,M,OW,18,S,
14-May-85,60,240,R,Pm,3717,3718,M,OW,19,S,
14-May-85,20,260,R,Pm,3727,3739,F,OW,18,NB,
14-May-85,0,260,R,Pm,3727,3739,F,OW,19,NB,
14-May-85,60,320,R,Pm,3737,3738,F,OW,16,NB,
14-May-85,20,200,R,Pm,3741,3760,F,OW,19,NB,
14-May-85,80,280,R,Pm,3746,3747,M,OW,19,S,
14-May-85,20,280,,Pm,3744,3745,M,OW,19.5,NS,
14-May-85,80,280,,Pm,3746,3747,M,OW,19,S,
14-May-85,80,50,,Pm,,,,,,,
17-May-85,60,320,R,Pm,2281,4992,F,OW,16,B,
17-May-85,20,200,R,Pm,2355,3604,M,OW,17,S,
17-May-85,40,200,R,Pm,2355,3604,M,OW,15,S,
17-May-85,40,200,R,Pm,2355,3604,M,OW,17,S,
17-May-85,60,240,R,Pm,3713,3714,F,OW,18.5,Preg,
17-May-85,120,0,R,Pm,3715,3725,F,OW,20,Preg,
17-May-85,60,320,R,Pm,3717,3718,M,OW,20,S,
17-May-85,80,300,R,Pm,3717,3718,M,OW,20,S,
17-May-85,40,220,R,Pm,3727,3739,F,OW,,dead,dead
17-May-85,20,280,R,Pm,3737,3738,F,OW,15.5,NB,
17-May-85,20,300,R,Pm,3737,3738,F,OW,15.5,NB,
17-May-85,20,200,R,Pm,3741,3760,F,OW,21,B,
17-May-85,0,280,R,Pm,3744,3745,M,OW,18,S,
17-May-85,,,,Pm,2026,,M,OW,,dead,dead
17-May-85,20,240,,Pm,3748,3749,M,OW,21.5,S,
18-May-85,60,320,R,Pm,2281,4992,F,OW,16,Preg,
18-May-85,0,220,R,Pm,2355,3604,M,OW,17.5,S,
18-May-85,60,240,R,Pm,3713,3714,F,OW,17.5,Preg,
18-May-85,,,R,Pm,3715,3725,F,OW,,dead,dead
18-May-85,80,280,R,Pm,3717,3718,M,OW,19.5,S,
18-May-85,0,200,R,Pm,3741,3760,F,OW,20,B,
18-May-85,0,280,R,Pm,3744,3745,M,OW,19,S,
18-May-85,80,260,R,Pm,3746,3747,M,OW,20.5,S,
18-May-85,120,0,,Pm,2006,3792,M,OW,22.5,S,
21-May-85,,,R,Pm,2006,3792,M,OW,23,S,
21-May-85,20,200,R,Pm,2355,3604,M,OW,19,S,
21-May-85,60,240,R,Pm,3713,3714,F,OW,18.5,Preg,
21-May-85,60,220,R,Pm,3717,3718,M,OW,20,S,
21-May-85,-120,240,R,Pm,3741,3760,F,OW,23,Preg,
21-May-85,-120,240,R,Pm,3741,3760,F,OW,23,Preg,
21-May-85,0,200,R,Pm,3744,3745,M,OW,20.5,S,
