Date,Trap co-ordinate 1,Trap co-ordinate 2,New/Recap,Spp.,Tag (one),Tag (two),Sex,Age,Wt,Condition,Remarks
27-Apr-86,60,220,,Pm,263,5004,M,OW,24.5,S,
27-Apr-86,80,40,,Pm,2015,2035,M,OW,19.5,S,
27-Apr-86,30,280,,Pm,2284,2288,F,OW,21.5,NB,
27-Apr-86,80,60,,Pm,4267,4268,F,OW,19.5,B,
27-Apr-86,0,200,,Pm,4435,4436,F,OW,18,B,
27-Apr-86,40,180,,Pm,4599,4600,F,OW,22,L/Preg,
27-Apr-86,40,200,,Pm,4918,4919,M,OW,22,S,
27-Apr-86,120,0,,Pm,5000,5001,F,OW,23.5,Preg,
27-Apr-86,60,100,,Pm,5002,5003,M,OW,19,S,
30-Apr-86,20,0,,Pm,,,,YY,5,dead,dead
30-Apr-86,80,260,R,Pm,263,5004,M,OW,26,S,
30-Apr-86,60,0,,Pm,267,268,F,OW,25,Preg,
30-Apr-86,20,20,,Pm,269,5041,F,OW,22,NL,
30-Apr-86,100,0,,Pm,273,274,F,OW,21,B,
30-Apr-86,100,40,R,Pm,2015,2035,M,OW,20,S,
30-Apr-86,40,360,,Pm,2261,2293,M,OW,24.5,S,
30-Apr-86,60,320,,Pm,2281,4992,F,OW,18.5,NB,
30-Apr-86,40,240,R,Pm,2284,2288,F,OW,24,Preg,
30-Apr-86,80,280,,Pm,2290,4585,M,OW,24,S,
30-Apr-86,40,280,,Pm,3757,3758,F,OW,22.5,NB,
30-Apr-86,60,120,R,Pm,4267,4268,F,OW,21,NB,
30-Apr-86,60,320,,Pm,4427,4428,M,OW,21.5,S,
30-Apr-86,0,200,R,Pm,4435,4436,F,OW,20,NB,
30-Apr-86,80,40,,Pm,4468,4910,F,OW,25.5,L/Preg,
30-Apr-86,80,300,,Pm,4473,4474,F,OW,19.5,Preg,
30-Apr-86,-80,240,,Pm,4554,4555,F,OW,24.5,B,
30-Apr-86,80,200,,Pm,4590,4591,F,OW,22,Preg,
30-Apr-86,100,20,,Pm,4597,4598,M,OW,22.5,S,
30-Apr-86,60,160,R,Pm,4599,4600,F,OW,23,L/Preg,
30-Apr-86,60,200,R,Pm,4918,4919,M,OW,22.5,S,
30-Apr-86,20,260,,Pm,4988,4989,F,OW,20.5,B,
30-Apr-86,120,0,R,Pm,5000,5001,F,OW,27,Preg,
30-Apr-86,80,100,R,Pm,5002,5003,M,OW,20,S,
30-Apr-86,120,0,,Pm,5006,5331,M,OW,23,S,
30-Apr-86,60,20,,Pm,5007,5008,M,OW,18.5,S,
30-Apr-86,60,140,N,Pm,5009,5010,M,YY,11,Imm,
30-Apr-86,0,200,,Pm,5011,5012,F,OW,16,Preg,
30-Apr-86,-20,220,,Pm,5013,5014,M,OW,22,S,
30-Apr-86,-40,220,,Pm,5015,5016,M,OW,21,S,
30-Apr-86,-80,220,,Pm,5017,5018,F,OW,20.5,NB,
30-Apr-86,40,220,N,Pm,5019,5020,F,YY,11.5,Imm,
30-Apr-86,80,240,,Pm,5021,5022,F,OW,17,NB,
2-May-86,80,100,,Pm,,,F,OW,23,B,
2-May-86,80,100,R,Pm,263,5004,M,OW,,S,
2-May-86,60,0,R,Pm,267,268,F,OW,21.5,Preg,
2-May-86,20,80,R,Pm,269,5041,F,OW,20.5,NL,
2-May-86,100,40,R,Pm,273,274,F,OW,20.5,Preg,
2-May-86,60,20,R,Pm,2015,2035,M,OW,18.5,S,
2-May-86,100,0,,Pm,2252,2298,M,OW,23,S,
2-May-86,40,340,R,Pm,2261,2293,M,OW,22.5,S,
