Date,Trap#,New/Recap,Spp.,Tag (one),Tag (two),Sex,Age,Wt,Condition,Remarks
07-may-93,N5,N,Pm,7697,7698,M,A,25,S,healthy
09-may-93,K5,R,Ta,4125,7793,M,A,48,S,healthy
09-may-93,J3,R,Ta,4118,7734,F,A,56,NB,healthy
09-may-93,P0,N,Ta,7759,7760,M,A,50,S,healthy
13-may-93,K4,R,Ta,7734,,NB,A,52,NB,healthy
13-may-93,K5,R,Ta,4189,7662,NB,A,56,NB,healthy
13-may-93,M4,N,Ta,6927,,?,A,35,?,healthy
18-may-93,M6,R,Ta,4189,7662,F,A,57,?,healthy
18-may-93,O3,R,Ta,7759,,M,A,48,S,healthy
18-may-93,N,,,,,,,,,
20-may-93,M5,R,Ta,4189,7662,F,A,60,B,healthy
20-may-93,P0,R,Ta,7759,7760,M,A,48,S,healthy
28-may-93,K4,N,Pm,6903,6904,M,A,23.5,S,healthy
10-jun-93,K4,R,Pm,6903,6904,M,A,24.5,S,healthy
18-jun-93,N5,R,Ta,7759,7760,M,A,50,S,healthy
24-jun-93,L6,R,Ta,4189,7662,F,A,57,B,healthy
26-jun-93,J3,R,Ta,6189,7662,F,,58,L,healthy
26-jun-93,K4,R,Ta,6927,,M,,46,S,healthy
26-jun-93,L6,R,Ta,4118,,F,,60,L,healthy
26-jun-93,M4,R,Ta,6189,7662,F,,57.5,L,healthy
26-jun-93,O1,R,Ta,7759,7760,M,,49,S,healthy
26-jun-93,K2,N,Ta,6804,,M,,51,S,healthy
02-jul-93,L2,R,Ta,4118,,F,,61,L,healthy
02-jul-93,M2,R,Ta,6927,,M,,48,S,healthy
02-jul-93,L5,R,Ta,6524,,M,,50,S,healthy
05-jul-93,J3,R,Ta,4118,,F,,60,L,healthy
05-jul-93,K4,R,Ta,6873,6897,M,,49,S,healthy
14-jul-93,J3,R,Ta,6844,,F,A,70,NB,healthy
16-jul-93,J3,R,Ta,6844,,F,,65,NB,healthy
16-jul-93,K4,R,Ta,6877,,M,,50,,healthy
16-jul-93,M3,R,Ta,6803,,M,,46,S,healthy
30-jul-93,L6,R,Ta,6841,,F,,54,L,healthy
30-jul-93,P0,R,Ta,6726,,M,,50,NB,healthy
01-ago-93,J3,R,Ta,6841,,F,,55,L,healthy
01-ago-93,K4,R,Pm,6295,6297,M,,27.5,S,healthy
01-ago-93,K5,R,Ta,6897,6926,M,,49,NS,healthy
01-ago-93,L4,N,Ta,6245,6273,F,,51,NB,healthy
03-ago-93,L2,R,Ta,6841,,F,,59,L,healthy
03-ago-93,K2,R,Ta,6803,,M,,45,NS,
05-ago-93,K3,R,Ta,6803,,M,,45,NS,healthy
05-ago-93,K5,N,Ta,6284,6292,F,,49,NB,healthy
05-ago-93,L5,R,Ta,6897,6926,M,,,NS,healthy
05-ago-93,M4,R,Ta,6841,,F,,64,NB,healthy
09-ago-93,K3,R,Ta,6841,,F,,61,NB,can't tag other ear
09-ago-93,J3,R,Ta,6897,6926,M,,51,NS,healthy
09-ago-93,M2,R,Pm,6297,6298,M,,23,,healthy
10-ago-93,K2,R,Ta,6926,,M,,49,NS,healthy
10-ago-93,J3,R,Ta,6841,,F,,56,NB,
10-ago-93,O0,R,Ta,6926,,M,,49,NS,
18-ago-93,J3,R,Ta,6841,,M,,51,NS,healthy
18-ago-93,K4,R,Ta,6272,6284,F,,50,NB,
20-ago-93,K3,R,Ta,6272,,F,,52,NB,healthy
20-ago-93,N3,R,Ta,6841,,F,,51,NB,healthy
24-ago-93,J3,R,Ta,6272,,F,,50,NB,healthy
24-ago-93,M2,R,Ta,6841,,F,,58,NB,
28-ago-93,K3,R,Ta,6272,,F,,57,NB,healthy
