Date,N/R,Species,Tag 1,Tag 2,Sex,Age,Wt,Cond
30-abr-04,N,Pm,5362,5365,M,A,21,S
30-abr-04,N,Pm,5927,5928,F,A,,NB
30-abr-04,R,Pm,5219,5983,F,A,25,NB
30-abr-04,N,Pm,5212,5213,F,A,22.5,NB
04-may-04,R,Pm,5362,5365,M,A,19,S
04-may-04,N,Pm,5752,5759,M,A,19.5,NS
04-may-04,N,Pm,5749,5750,F,A,16.5,NB
04-may-04,R,Pm,5927,5928,F,A,28,NB
04-may-04,N,Pm,5751,5752,F,A,23,B
04-may-04,R,Pm,5212,5213,F,A,22.5,NB
09-may-04,R,Pm,5362,5365,M,A,21,NS
09-may-04,R,Pm,5752,5759,M,A,22,NS
09-may-04,N,Pm,5333,5813,M,A,22,S
09-may-04,N,Pm,5761,5762,M,A,23,NS
09-may-04,N,Pm,5758,5760,M,A,23.5,NS
09-may-04,R,Pm,5927,5928,F,A,23,NB
09-may-04,R,Pm,5751,5752,F,A,22.5,NB
09-may-04,R,Pm,5212,5213,F,A,23,NB
16-may-04,R,Pm,5362,5365,M,A,21,NS
16-may-04,R,Pm,5333,5813,M,A,25.5,NS
16-may-04,R,Pm,5927,5928,F,A,23.5,NB
16-may-04,R,Pm,5219,5983,F,A,21,NB
16-may-04,R,Pm,5751,5752,F,A,22,NB
16-may-04,R,Pm,5212,5213,F,A,23,B
16-may-04,R,Pm,5775,5892,F,A,12.5,NB
19-may-04,N,Pm,5808,5809,M,A,21.5,S
19-may-04,R,Pm,5752,5759,M,A,22,NS
19-may-04,R,Pm,5333,5813,M,A,20,NS
19-may-04,R,Pm,5761,5762,M,A,21,S
19-may-04,R,Pm,5758,5760,M,A,24,NS
19-may-04,N,Pm,5811,,F,A,21,B
19-may-04,R,Pm,5927,5928,F,A,22.5,NB
19-may-04,R,Pm,5219,5983,F,A,22,NB
19-may-04,R,Pm,5775,5892,F,A,,NB
25-may-04,R,Pm,5362,5365,M,A,20.5,S
25-may-04,R,Pm,5333,5813,M,A,20.5,S
25-may-04,R,Pm,5761,5762,M,A,23,NS
25-may-04,R,Pm,5758,5760,M,A,22.5,S
25-may-04,R,Pm,5927,5928,F,A,23,NB
25-may-04,R,Pm,5219,5983,F,A,21,NB
25-may-04,R,Pm,5751,5752,F,A,23.5,NB
25-may-04,R ,Pm,5775,5892,F,A,27,NB
28-may-04,N,Pm,5366,5371,M,A,20,NS
28-may-04,R,Pm,5362,5365,M,A,20.5,S
28-may-04,R,Pm,5333,5813,M,A,22.5,S
28-may-04,R,Pm,5761,5762,M,A,20.5,NS
28-may-04,N,Pm,5369,5720,M,A,12.5,NS
28-may-04,R,Pm,5354,5925,F,A,23.5,L
28-may-04,R ,Pm,5927,5928,F,A,31.5,P
28-may-04,R,Pm,5219,5983,F,A,25,P
28-may-04,N,Pm,5559,5927,F,A,26,L
28-may-04,R,Pm,5775,5892,F,A,33.5,P
01-jun-04,N,Pm,5845,5846,M,A,16.5,NS
01-jun-04,N,Pm,5847,5881,M,A,20,NS
01-jun-04,N,Pm,5841,5885,M,A,15.5,S
01-jun-04,R,Pm,5366,5371,M,A,12.5,NS
01-jun-04,R,Pm,5362,5365,M,A,21,NS
01-jun-04,R,Pm,5761,5762,M,A,22,NS
01-jun-04,R,Pm,5758,5760,M,A,28,NS
01-jun-04,R,Pm,5369,5720,M,A,9,NS
01-jun-04,R,Pm,5219,5983,F,A,26.5,P
01-jun-04,R,Pm,5559,5927,F,A,21,NB
01-jun-04,N,Pm,5709,5781,F,J,13.5,NB
04-jun-04,R,Pm,5366,5371,M,A,13,NS
04-jun-04,R,Pm,5362,5365,M,A,20.5,S
04-jun-04,R,Pm,5758,5760,M,A,23.5,NS
04-jun-04,R,Pm,5369,5720,M,A,13,NS
04-jun-04,R,Pm,5927,5928,F,A,22.5,L
04-jun-04,R,Pm,5219,5983,F,A,24,L
04-jun-04,R,Pm,5559,5927,F,A,19.5,L
04-jun-04,R,Pm,5775,5892,F,A,30,P
04-jun-04,N,Pm,5886,5891,F,J,11,NB
04-jun-04,N,Pm,5888,5893,M,J,12,NS
09-jun-04,R,Pm,5847,5881,M,A,21,S
09-jun-04,R,Pm,5366,5371,M,A,16,NS
09-jun-04,R,Pm,5362,5365,M,A,18,S
09-jun-04,R,Pm,5761,5762,M,A,21,NS
09-jun-04,R,Pm,5927,5928,F,A,15.5,NB
09-jun-04,R,Pm,5219,5983,F,A,22,NB
09-jun-04,R,Pm,5559,5927,F,A,24,L
09-jun-04,R,Pm,5775,5892,F,A,20.5,L
09-jun-04,R,Pm,5886,5891,F,J,15.5,NB
11-jun-04,R,Pm,5845,5846,M,A,19,NS
11-jun-04,R,Pm,5366,5371,M,A,17.5,NS
11-jun-04,R,Pm,5362,5365,M,A,21.5,S
11-jun-04,R,Pm,5761,5762,M,A,19.5,S
11-jun-04,R,Pm,5369,5720,M,A,14,NS
11-jun-04,R,Pm,5927,5928,F,A,23,NB
11-jun-04,R,Pm,5219,5983,F,A,,NB
11-jun-04,R,Pm,5559,5927,F,A,,NB
11-jun-04,R,Pm,5775,5892,F,A,21.5,NB
11-jun-04,R,Pm,5709,5781,F,J,12.5,NB
11-jun-04,N,Pm,5861,5862,F,J,14.5,NB
11-jun-04,R,Pm,5886,5891,F,J,13,NB
11-jun-04,R,Pm,5888,5893,M,J,16,NS
14-jun-04,R,Pm,5366,5371,M,A,15,NS
14-jun-04,R,Pm,5761,5762,M,A,21.5,NS
14-jun-04,R,Pm,5369,5720,M,A,14,NS
14-jun-04,N,Pm,5572,5719,F,A,18,NB
14-jun-04,R,Pm,5219,5983,F,A,23.5,NB
14-jun-04,R,Pm,5559,5927,F,A,21,NB
14-jun-04,R,Pm,5775,5892,F,A,24,L
14-jun-04,N,Pm,5708,5722,F,J,13,NB
14-jun-04,R,Pm,5709,5781,F,J,14,NB
14-jun-04,R,Pm,5888,5893,M,J,16,S
14-jun-04,N,Pm,5599,5714,F,J,14.5,NB
17-jun-04,R,Pm,5366,5371,M,A,15,NS
17-jun-04,R,Pm,5761,5762,M,A,20.5,S
17-jun-04,R,Pm,5369,5720,M,A,15,NS
17-jun-04,R,Pm,5572,5719,F,A,24.5,P
17-jun-04,R,Pm,5219,5983,F,A,20,NB
17-jun-04,R,Pm,5559,5927,F,A,23,NB
17-jun-04,N,Pm,5778,5783,F,J,12.5,NB
17-jun-04,R,Pm,5708,5722,F,J,11,NB
17-jun-04,R,Pm,5709,5781,F,J,12.5,NB
17-jun-04,R,Pm,5861,5862,F,J,15,NB
21-jun-04,R,Pm,5841,5885,M,A,21.5,S
21-jun-04,R,Pm,5366,5371,M,A,14.5,NS
21-jun-04,R,Pm,5761,5762,M,A,19.5,NS
21-jun-04,R,Pm,5219,5983,F,A,22,NB
21-jun-04,R,Pm,5559,5927,F,A,21,NB
21-jun-04,R,Pm,5778,5783,F,J,13,NB
21-jun-04,R,Pm,5709,5781,F,J,15.5,NB
21-jun-04,R,Pm,5861,5862,F,J,13.5,NB
24-jun-04,N,Pm,7343,7344,M,A,18.5,S
24-jun-04,R,Pm,5841,5885,M,A,20.5,S
24-jun-04,R,Pm,5366,5371,M,A,20,NS
24-jun-04,R,Pm,5761,5762,M,A,22,NS
24-jun-04,R,Pm,5219,5983,F,A,20.5,NB
24-jun-04,R,Pm,5559,5927,F,A,24,NB
24-jun-04,R,Pm,5778,5783,F,J,14,NB
24-jun-04,R,Pm,5861,5862,F,J,13,NB
29-jun-04,R,Pm,5841,5885,M,A,19.5,S
29-jun-04,R,Pm,5366,5371,M,A,15.5,NS
29-jun-04,R,Pm,5761,5762,M,A,20.5,S
29-jun-04,R,Pm,5219,5983,F,A,18.5,NB
29-jun-04,N,Pm,7341,7342,F,J,14,NB
29-jun-04,R,Pm,5778,5783,F,J,14,NB
29-jun-04,N,Pm,7338,7339,M,J,15,NS
02-jul-04,R,Pm,7386,7400,M,A,21.5,S
02-jul-04,R,Pm,5343,5344,M,A,18.5,S
02-jul-04,R,Pm,5366,5371,M,A,16.5,NS
02-jul-04,R,Pm,5761,5762,M,A,23.5,S
02-jul-04,R,Pm,7341,7342,F,J,15,NB
02-jul-04,R,Pm,5778,5783,F,J,14.5,NB
05-jul-04,R,Pm,7343,7344,M,A,18.5,NS
05-jul-04,R,Pm,7386,7400,M,A,20,S
05-jul-04,R,Pm,5366,5371,M,A,17,NS
05-jul-04,R,Pm,5761,5762,M,A,22,NS
05-jul-04,R,Pm,7341,7342,F,J,18,NB
05-jul-04,R,Pm,5888,5893,M,J,17.5,NS
05-jul-04,N,Pm,7212,7215,M,J,17,NS
08-jul-04,R,Pm,5366,5371,M,A,18,NS
08-jul-04,R,Pm,5761,5762,M,A,27.5,NS
08-jul-04,R,Pm,7341,7342,F,J,16,NB
08-jul-04,R,Pm,5778,5783,F,J,15.5,NB
08-jul-04,N,Pm,7407,7408,M,J,16.5,NS
12-jul-04,N,Pm,7420,7421,M,A,20.5,S
12-jul-04,R,Pm,7386,7400,M,A,21.5,S
12-jul-04,R,Pm,5366,5371,M,A,17.5,NS
12-jul-04,N,Pm,7413,7422,F,J,18,NB
12-jul-04,R,Pm,7341,7342,F,J,17,B
12-jul-04,R,Pm,5778,5783,F,J,14.5,NB
12-jul-04,R,Pm,5888,5893,M,J,18,NS
12-jul-04,R,Pm,7212,7215,M,J,18,NS
16-jul-04,R,Pm,7420,7421,M,A,,S
16-jul-04,R,Pm,7386,7400,M,A,,S
16-jul-04,R,Pm,5366,5371,M,A,,NS
16-jul-04,R,Pm,7341,7342,F,J,,B
16-jul-04,R,Pm,5778,5783,F,J,,NB
16-jul-04,R,Pm,5888,5893,M,J,,NS
16-jul-04,R,Pm,7212,7215,M,J,,NS
19-jul-04,R,Pm,7420,7421,M,A,20,S
19-jul-04,R,Pm,7386,7400,M,A,19.5,S
19-jul-04,R,Pm,5366,5371,M,A,17,NS
19-jul-04,R,Pm,7413,7422,F,J,19.5,NB
19-jul-04,R,Pm,7341,7342,F,J,24,B
19-jul-04,R,Pm,5778,5783,F,J,16,NB
19-jul-04,R,Pm,5888,5893,M,J,17.5,NS
19-jul-04,R,Pm,7212,7215,M,J,17.5,NS
22-jul-04,R,Pm,7420,7421,M,A,22,NS
22-jul-04,R,Pm,7386,7400,M,A,21.5,S
