Date,Trap #,New/Recap,Species,Tag,Tag,Sex,Age,Weight,Condition,Remarks,
May 13th,1D,R,Pm,7212,7989,M,A,24,S,retagged one ear,
May 13th,2B,R,Pm,5888,5893,M,A,24.5,S,,
May 13th,2A,N,Cg,,,F,A,19,Perf,forgot to look at tag numbers,
May 13th,2H,N,Pm,7538,7564,M,A,17.5,NS,,
May 13th,2J,R,Pm,7452,7453,M,A,23,S,,
May 13th,2K,N,Pm,7527,7537,M,A,22.5,NS,,
May 13th,1R,N,,,,,A,20,,escaped,
May 17th,1C,N,Pm,7990,7991,F,A,20,NB,,
May 17th,1N,N,Cg,7992,7993,M,A,22.5,S,,
May 17th,2B,R,Pm,5888,5893,M,A,25.5,S,DNA #9,
May 17th,2G,R,Pm,7452,7453,M,A,24,S,DNA #10,
May 17th,2H,N,Cg,7192,7196,F,A,20,NB,,
May 17th,2I,N,Pm,7194,7198,M,A,19,S,DNA #11,
May 17th,2K,R,Pm,7413,7422,F,A,18,NB,DNA #12,
May 17th,1D,R,Pm,7989,7212,M,A,25,S,,
May 17th,1P,N,Pm,7649,,M,A,19,S,only one tag,
May 20th,2C,R,Pm,7452,7453,M,A,22,S,,
May 20th,2H,R,Cg,7182,,,A,19.5,,escaped,
May 20th,2J,R,Pm,7413,7422,F,A,20,NB,,
May 20th,2K,N,Pm,7644,7645,M,A,20,NS,,
May 20th,1E,R,Pm,7213,7989,M,A,22.5,S,,
May 20th,1L,N,Cg,7994,7995,F,A,23,NB,,
May 20th,1P,R,Pm,7649,7998,M,A,21,S,retagged one ear,
May 23rd,1D,R,Pm,7452,7453,M,A,22,S,,
May 23rd,1E,R,Pm,,,,A,24,,escaped,
May 23rd,1L,N,Cg,7673,7674,F,A,23.5,NB,,
May 23rd,2C,R,Pm,,,,A,23,,escaped,
May 23rd,2G,R,Cg,7192,7196,,A,19.5,,escaped,
May 23rd,2H,R,Cg,7993,,M,A,23,S,only one tag,
May 23rd,2K,R,Pm,7649,7998,M,A,23.5,S,,
May 26th,2B,N,Pm,7904,7905,M,A,22.5,NS,,
May 26th,2D,R,Cg,7192,7196,F,A,24,NB,,
