Date,Trap#,Spp.,New/Recap,Tag (one),Tag (two),Sex,Age,Wt,Condition,Dye,Remarks
08-may,1A,Pm,R,7452,7453,M,OW,23,NS,,
08-may,1T,Pm,N,7796,7797,M,OW,17,S,,DNA
08-may,1K,Pm,N,7798,7799,F,OW,22.5,NB,,"DNA, Hair"
08-may,1I,Pm,R,7915,7916,M,OW,21,,,DNA
08-may,1Q,Mg,N,8162,8163,M,OW,17,NS,,
08-may,1L,Mg,N,8166,8168,M,OW,19.5,NS,,Hair
08-may,1O,Pm,N,8185,8186,M,OW,21.0,NS,,
08-may,1P,Pm,N,8102,8187,M,OW,18.5,,,DNA
08-may,1S,Mg,N,8189,8190,M,OW,16.5,NS,,
08-may,2L,Pm,N,8881,8882,F,OW,17.5,NB,,DNA
08-may,1R,Pm,R,8756,,F,OW,17.5,PERF,,DNA
08-may,2C,Pm,R,8912,,F,OW,23,NB,,"ripped ears, clipped hair (up back)"
10-may,2A,Mg,N,7792,7793,F,A,20,NB,,Hair
10-may,1E,Pm,N,7197,7198,M,A,17.5,S,,
10-may,1P,Pm,R,8185,8186,M,A,21.5,NS,,
10-may,1K,Pm,R,8102,8187,M,A,19.5,S,,
10-may,1S,Mg,R,8189,8190,M,A,17.5,NS,,
10-may,2L,Pm,R,8881,8882,F,A,17.5,NB,,
10-may,1T,Pm,R,8756,,F,A,17,PERF,,
15-may,2B,Pm,R,7452,7453,M,A,23,S,,
15-may,2L,Pm,N,7788,7789,M,OW,21,NS,,DNA
15-may,1G,Pm,R,7915,7916,M,OW,22,NS,,Hair
15-may,1S,Mg,R,8151,8152,M,OW,17,NS,,"new tags, line up back"
15-may,1K,Mg,R,8166,8168,M,OW,21.5,NS,,
15-may,1P,Pm,R,8185,8186,M,OW,22.5,NS,,
15-may,1M,Pm,R,8102,8187,M,OW,22,S,,
15-may,2C,Mg,R,7192,,F,A,20,PERF,,
15-may,2J,Mg,N,7791,,F,OW,27,B,,Powdered
15-may,1O,Pm,R,8756,,F,OW,21,NB/P?,,
15-may,2A,Pm,R,8912,,F,A,26,NB,,"line on back, ears torn, new tag = 8912"
17-may,2B,Pm,R,7452,7453,M,OW,22,NS,,
17-may,1K,Pm,R,7915,7916,M,OW,21.5,NS,,
17-may,1P,Pm,R,8185,8186,M,OW,22,S,,Hair
17-may,2L,Pm,R,8102,8187,M,OW,21,NS,,
17-may,1S,Pm,R,8756,,F,OW,21,NB,,Rubbed
17-may,2A,Mg,R,8792,,F,OW,18,PERF,,
17-may,1A,Pm,R,8912,,F,OW,23,P,,Line 
22-may,1A,Pm,R,7452,7453,M,A,25.5,S,,
22-may,1Q,Mg,R,8105,8106,M,A,17.5,NS,,Hair
22-may,1O,Pm,R,8185,8186,M,A,22,S,,
22-may,1N,Pm,R,8102,8187,M,A,21.5,NS,,
22-may,2C,Mg,R,4003,8884,,A,21,,,"new tag, escapee"
22-may,2J,Mg,R,8104,,F,A,17.5,PERF,,
22-may,1T,Pm,R,8756,,F,A,26,P,,Rubbed
22-may,2B,Pm,R,8912,,F,A,22,NB,,Powdered
24-may,1K,Pm,R,7915,7916,M,A,21.5,S,,
24-may,1Q,Mg,R,8105,8106,M,A,,,,Dead in trap
24-may,1P,Pm,R,8185,8186,M,A,23,NS,,Lost 8185
24-may,1T,Pm,R,8756,,F,A,,P,,
24-may,1R,Mg,R,8883,,M,A,17.5,NS,,"Ripped ears (added new tag), hair in shape of T"
24-may,1E,Pm,R,8912,,F,A,21.5,NB,,
30-may,2A,Pm,R,7452,7453,M,A,25,S,,DNA
30-may,1N,Pm,R,8102,8187,M,A,22.5,S,,
30-may,2B,Mg,R,4003,8884,F,A,36.5,PERF,,
30-may,2C,Pm,N,8894,8895,M,A,20,NS,,DNA
30-may,1S,Pm,R,8756,,F,A,22,NB,,rubbed
