,Trap#,,Spp.,Tag (one),Tag (two),Sex,Age,Wt (g),Condition,Remarks
13/05/2008,1A,N,Mg,3961,3962,M,A,17.5,NS,
15/05/2008,1A,N,Mg,4479,4480,F,A,14,NB,HAIR TAKEN
19/05/2008,1A,R,Pm,3953,3956,F,A,22,NB,
21/05/2008,1A,R,Pm,3953,3956,F,A,25.5,NB,
26/05/2008,1A,R,Pm,3953,3956,F,A,18,NB,
28/05/2008,1A,R,Pm,4503,4316,M,A,18,S,
02/06/2008,1A,R,Pm,3953,3956,F,A,21,NB,
04/06/2008,1A,R,Pm,4316,4503,M,A,18.5,S,
09/06/2008,1A,R,Pm,4000 (NEW),-,?,A,19.5,?,"lost both tags, one new tag"
23/06/2008,1A,N,Ta,-,-,F,A,> 48.5,NB,HAIR SAMPLE TAKEN
14/07/2008,1A,R,Pm,2939,2942,M,J,-,NS,NOT WEIGHED
16/07/2008,1A,R,Mg,4432 (NEW),-,M,A,22.5,NS,TAG ON LEFT EAR
21/07/2008,1A,R,Mg,4432,-,M,A,21.5,S,TAG ON LEFT EAR
23/07/2008,1A,R,Pm,2939,2942,M,J,14,NS,
30/07/2008,1A,N,Ta,-,-,M,A,52,S,
04/08/2008,1A,R,Pm,3814,4517,F,A,22,LAC,
06/08/2008,1A,R,Ta,-,-,F,A,57,NB,
11/08/2008,1A,R,Pm,2907,9808,M,A,20,NS,HAIR
13/08/2008,1A,R,Pm,2939,9808,M,A,15,NS,
18/08/2008,1A,R,Ta,-,-,M,A,49.5,S,HALF TAIL
22/08/2008,1A,R,Pm,5144,5145,F,J,17.5,LAC,
25/08/2008,1A,R,Pm,5144,5145,F,A,17,NB,HAIR
15/05/2008,1B,R,Pm,4516,4517,F,A,20.5,NB,
11/06/2008,1B,R,Pm,3953,3956,F,A,21.5,NB,
30/06/2008,1B,R,Pm,3953,3956,F,A,19,NB,
09/07/2008,1B,N,Pm,2939,2942,M,J,11,NS,HAIR
27/08/2008,1B,N,Pm,9961,9962,F,J,11,NB,
02/06/2008,1C,N,Mg,4372,4373,F,A,20.5,NB,hair sample taken
04/06/2008,1C,R,Pm,3953,3956,F,A,24.5,NB,
09/06/2008,1C,R,Pm,3953,3956,F,A,21.5,NB,
11/06/2008,1C,N,Pm,2888,2889,M,A,12,NS,HAIR SAMPLE TAKEN
03/07/2008,1C,N,Zp,-,-,F,A,28,NB,HAIR AND PUNCH
07/07/2008,1C,R,Mg,2940 (NEW),-,M,A,23,S,"BAD EARS, 2940 IS NEW"
09/07/2008,1C,R,Pm,4953,-,F,A,26.5,PREG AND LAC,
