Date,Trap#,New/Recap,Spp.,Tag (one),Tag (two),Sex,Age,Wt,Condition,Remarks,
13-may,1A,N,Pm,234,235,M,A,17,NS,No Hair,
15-may,2B,N,Mg,6003,6004,M,A,17,NS,Hair,
15-may,2G,N,Mg,267,6023,F,A,15,NB,Hair,
15-may,2I,N,Pm,6014,6022,M,A,18,NS,Hair,
15-may,2J,N,Pm,6024,6025,F,A,14,NB,Hair,
15-may,2K,N,Mg,6005,6006,M,A,16.5,NS,Hair,
15-may,1A,R,Pm,XXXXX,XXXXX,XXXX,x,17,XXXX,Escaped,
15-may,1O,N,Mg,282,6199,M,A,16.5,NS,Hair,
15-may,1S,N,Pm,283,6198,F,A,17,P,Hair,
18-may,1D,N,Pm,236,6174,M,A,15,NS,Hair,
18-may,1E,N,Pm,237,238,F,A,13,NB,Hair,
18-may,1G,N,Pm,239,240,M,A,17.5,NS,Hair,
18-may,1M,N,Pm,241,242,M,A,21,S,Hair,
18-may,1P,R,Pm,6198,283,F,A,16.5,B,,
18-may,1T,R,Pm,6014,6022,M,A,17,S,,
18-may,2M,N,Pm,243,244,F,A,14,B,No Hair,
18-may,2L,R,Mg,245,6005,M,A,21,NS,,
18-may,2K,R,Pm,24,235,M,A,17,S,,
18-may,2G,N,Mg,246,247,M,A,17.5,S,Hair,
18-may,2B,N,Mg,248,249,F,A,19.5,B,Hair,
20-may,2A,R,Mg,6006,6066,F,A,19.5,NB,,
20-may,2B,N,Mg,XXXXX,XXXXX,XXXX,A,22.5,XXXX,Escaped,
20-may,2C,R,Pm,6024,6025,F,A,15,NB,,
20-may,2D,R,Mg,246,247,M,A,20,NS,,
20-may,2E,N,Pm,6076,6077,F,A,15,NB,,
20-may,2G,R,Mg,245,6005,M,A,16,NS,,
20-may,2H,N,Ta,NA,NA,F,A,50,NB,Hair,
20-may,1O,N,Ta,NA,NA,M,A,46.5,S,Hair,
20-may,1Q,R,Mg,282,6199,M,A,20,S,,
20-may,1A,R,Pm,6174,236,M,A,19.5,NS,,
20-may,1D,N,Mg,6186,6184,F,A,21,B,Hair ,
20-may,1F,N,Pm,6137,6138,F,A,12.5,B,Hair,
20-may,1G,N,Pm,6140,6185,M,A,17.5,S,Hair,
20-may,1I,R,Pm,234,235,M,A,14.5,NS,,
20-may,1O?,N,Pm,6193,6195,F,A,16.5,NB,Hair,
20-may,1N,R,Pm,243,244,F,A,16.5,B,,
20-may,1P,R,Pm,239,240,M,A,20,NS,,
20-may,1R,R,Pm,237,238,F,A,14.5,?,Escaped,
20-may,1S,N,Pm,6141,6142,F,A,16,B,Hair,
24-may,2A,R,Mg,6006,6066,F,A,21,NB,,
24-may,2C,R,Mg,6186,6184,F,A,19,B,,
24-may,2D,R,Pm,6174,236,M,A,17,NB,,
24-may,2E,R,Pm,6137,6138,F,A,16.5,NB,,
24-may,2J?,R,Pm,6140,6185,M,A,16,NB,,
24-may,2K,R,Mg,245,245,M,A,17,NB,,
24-may,1T,N,Mg,6191,6192,M,A,18,NB,Hair,
24-may,1D,R,Mg,246,247,M,A,20,NS,,
24-may,1G,R,Pm,6024,6161,F,A,21.5,B,New Tag (old-6025),
24-may,1I,R,Pm,239,240,M,A,21.5,NS,,
24-may,1M,R,Pm,238,238,F,A,13,B,,
24-may,1P,R,Pm,6198,6198,F,A,21,NB,,
24-may,1R,R,Pm,6142,6141,F,A,22,NB,,
26-may,1D,R,Mg,246,247,M,A,21.5,NB,,
26-may,1J,N,Ta,NA,NA,F,A,60+,NB,Hair,
26-may,1K,R,Pm,6193,6194,F,A,17,NB,,
26-may,1M,R,Mg,245,6005,M,A,17.5,NS,,
26-may,1O,R,Pm,6191,6192,M,A,17.5,NS,,
26-may,2C,R,Mg,6184,6186,F,A,17,B,,
26-may,2D,R,Pm,236,6174,N,A,16,NS,,
26-may,2F,R,Pm,6137,6138,F,A,16.5,B,,
26-may,2G,R,Pm,239,240,M,A,20.5,NS,,
26-may,2J,R,Pm,237,238,F,A,11,B,Cop. Plug,
26-may,1T,R,Pm,283,6198,F,A,16.5,NB,,
26-may,1S,R,Pm,6141,6142,F,A,16,B,,
31-may,1A,R,Mg,6008,6066,F,A,22,NS,,
31-may,1M,N,Mg,6188,6189,M,A,22,NS,Hair,
31-may,1P,R,Mg,282,6190,M,A,20,NS,New Tag (old-6199),
31-may,2G,R,Pm,239,240,M,A,24,NS,,
31-may,2D,R,Mg,XXXXX,XXXXX,XXXX,A,24.5,XXXX,Escaped,
31-may,2C,R,Pm,236,6174,M,A,17.5,NS,,
31-may,1R,R,Pm,283,6198,F,A,19.5,B,,
31-may,1E,R,Mg,246,247,M,A,19.5,S,,
31-may,1O,N,Mg,6165,6166,F,A,19.5,B,Hair,
31-may,1T,R,Pm,6142,6141,F,A,XXXX,B,no weight,
31-may,2F,R,Pm,6137,6138,F,A,16.5,NB,,
31-may,2B,N,Mg,6167,6168,M,A,23,NS,hair,
02-jun,1A,N,Pm,6053,6054,F,A,13.5,NB,Hair,
02-jun,1E,R,Mg,246,247,M,A,19,NS,,
02-jun,1H,N,Ta,NA,NA,F,A,60+,NB,Hair,
02-jun,1K,R,Pm,243,244,,A,20,NB,,
02-jun,1P,N,Mg,6056,6057,M,A,18.5,NS,Hair,
02-jun,2B,R,Mg,6006,6066,F,A,20,NB,,
02-jun,2C,R,Mg,6184,6186,F,A,17,B,,
02-jun,2D,R,Pm,236,6174,M,A,16.5,NS,,
02-jun,2F,R,Pm,239,240,M,A,23,S,,
02-jun,2G,R,Pm,6137,6138,F,A,17.5,NB,,
02-jun,2H,R,Mg,267,6023,F,A,21.5,B,,
02-jun,1T,R,Pm,6191,6192,M,A,18.5,S,,
02-jun,1R,R,Pm,283,6198,F,A,18.5,NB,,
07-jun,2A,R,Pm,6174,236,M,A,17.5,NS,,
07-jun,2B,R,Mg,6066,6006,F,A,21.5,NB,,
07-jun,2C,R,Mg,XXXXX,XXXXX,XXXX,A,XXXX,XXXX,Escaped,
07-jun,2D,R,Mg,246,247,M,A,21,NS,2 Ticks,
07-jun,2E,R,Pm,6137,6138,F,A,XXXX,B,Weight not captured,
07-jun,2F,R,Pm,239,240,M,A,22,S,,
07-jun,2H,R,Mg,6188,6187,M,A,17.5,NS,,
07-jun,1Q,R,Mg,6165,6166,F,A,19.5,B,,
07-jun,1T,N,Zp,NA,NA,M,A,23.5,NS,,
07-jun,1A,R,Zp,NA,NA,M,A,26.5,NS,Hair,
07-jun,1N,N,Mg,6169,6170,F,A,18.5,B,,
