"","resolved_binomial","gametophytic","sporophytic","resolved_name"
"1","Datura_innoxia",NA,24,"Datura innoxia Mill."
"2","Datura_stramonium",NA,24,"Datura stramonium L."
"3","Solanum_dulcamara",NA,24,"Solanum dulcamara L."
"4","Solanum_dulcamara",NA,24,"Solanum dulcamara L."
"5","Solanum_dulcamara",NA,24,"Solanum dulcamara L."
"6","Solanum_sodomeum",NA,24,"Solanum sodomeum L."
"7","Mandragora_officinalis",NA,24,"Mandragora officinalis Mill."
"8","Atropa_belladonna",NA,72,"Atropa belladonna L."
"9","Physalis_alkekengi",NA,24,"Physalis alkekengi L."
"10","Datura_stramonium",NA,24,"Datura stramonium L."
"11","Solanum_nigrum",NA,72,"Solanum nigrum L."
"12","Solanum_nigrum",NA,72,"Solanum nigrum L."
"13","Atropa_belladonna",NA,72,"Atropa belladonna L."
"14","Datura_stramonium",NA,24,"Datura stramonium L."
"15","Lycium_barbarum",NA,24,"Lycium barbarum L."
"16","Hyoscyamus_niger",NA,34,"Hyoscyamus niger L."
"17","Solanum_dulcamara",NA,24,"Solanum dulcamara L."
"18","Hyoscyamus_niger",NA,34,"Hyoscyamus niger L."
"19","Physalis_alkekengi",NA,24,"Physalis alkekengi L."
"20","Nicotiana_alata",NA,18,"Nicotiana alata Link & Otto"
"21","Solanum_nigrum",NA,72,"Solanum nigrum L."
"22","Nicotiana_rustica",NA,48,"Nicotiana rustica L."
"23","Solanum_scabrum",NA,72,"Solanum scabrum Mill."
"24","Solanum_lycopersicum",NA,24,"Solanum lycopersicum L."
"25","Datura_stramonium",NA,24,"Datura stramonium L."
"26","Lycium_cinereum",NA,24,"Lycium cinereum Thunb."
"27","Physalis_alkekengi_var._franchetii",NA,24,"Physalis alkekengi var. franchetii (Mast.) Makino"
"28","Nicandra_physalodes",10,NA,"Nicandra physalodes (L.) Gaertn."
"29","Solanum_septemlobum",NA,24,"Solanum septemlobum Bunge"
"30","Physalis_angulata",24,NA,"Physalis angulata L."
"31","Physalis_minima",24,NA,"Physalis minima L."
"32","Lycium_mascarenense",NA,24,"Lycium mascarenense A. M. Venter & A. J. Scott"
"33","Lycium_schweinfurthii",NA,24,"Lycium schweinfurthii Dammer"
"34","Lycium_bosciifolium",NA,24,"Lycium bosciifolium Schinz"
"35","Lycium_tetrandrum",NA,48,"Lycium tetrandrum Thunb."
"36","Solanum_dulcamara",NA,24,"Solanum dulcamara L."
"37","Lycium_oxycarpum",NA,24,"Lycium oxycarpum Dunal"
"38","Solanum_viarum",12,NA,"Solanum viarum Dunal"
"39","Lycium_eenii",NA,24,"Lycium eenii S. Moore"
"40","Lycium_horridum",NA,24,"Lycium horridum Thunb."
