"","gs","woodiness","woodiness.count"
"1","Aa paleacea","H","1;0;0"
"2","Abarema adenophora","W","0;0;2"
"3","Abarema barbouriana","W","0;0;2"
"4","Abarema campestris","W","0;0;1"
"5","Abarema curvicarpa","W","0;0;1"
"6","Abarema jupunba","W","0;0;14"
"7","Abarema macradenia","W","0;0;3"
"8","Abarema mataybifolia","W","0;0;1"
"9","Abatia americana","W","0;0;1"
"10","Abatia boliviana","W","0;0;1"
"11","Abatia canescens","W","0;0;1"
"12","Abatia mexicana","W","0;0;1"
"13","Abatia parviflora","W","0;0;6"
"14","Abatia rugosa","W","0;0;1"
"15","Abatia spicata","W","0;0;1"
"16","Abatia stellata","W","0;0;1"
"17","Abdominea minimiflora","H","1;0;0"
"18","Abelia biflora","W","0;0;1"
"19","Abelia chinensis","W","0;0;1"
"20","Abelia dielsii","W","0;0;1"
"21","Abelia integrifolia","W","0;0;1"
"22","Abelia mosanensis","W","0;0;1"
"23","Abelia serrata","W","0;0;1"
"24","Abelia spathulata","W","0;0;1"
"25","Abelia triflora","W","0;0;1"
"26","Abelia zanderi","W","0;0;1"
"27","Abeliophyllum distichum","W","0;0;1"
"28","Abelmoschus esculentus","H","2;0;0"
"29","Abelmoschus ficulneus","W","0;0;1"
"30","Abelmoschus manihot","H","2;0;0"
"31","Abelmoschus moschatus","H","2;0;0"
"32","Abies alba","W","0;0;71"
"33","Abies amabilis","W","0;0;30"
"34","Abies balsamea","W","0;0;40"
"35","Abies borisii-regis","W","0;0;1"
"36","Abies bornmuelleriana","W","0;0;1"
"37","Abies bracteata","W","0;0;2"
"38","Abies cephalonica","W","0;0;1"
"39","Abies chensiensis","W","0;0;1"
"40","Abies cilicica","W","0;0;1"
"41","Abies concolor","W","0;0;8"
"42","Abies delavayi","W","0;0;2"
"43","Abies densa","W","0;0;1"
"44","Abies durangensis","W","0;0;2"
"45","Abies fabri","W","0;0;2"
"46","Abies fargesii","W","0;0;5"
"47","Abies firma","W","0;0;4"
"48","Abies forrestii","W","0;0;4"
"49","Abies fraseri","W","0;0;10"
"50","Abies grandis","W","0;0;8"
"51","Abies guatemalensis","W","0;0;2"
"52","Abies holophylla","W","0;0;2"
"53","Abies homolepis","W","0;0;1"
"54","Abies kawakamii","W","0;0;1"
"55","Abies koreana","W","0;0;1"
"56","Abies lasiocarpa","W","0;0;11"
"57","Abies magnifica","W","0;0;5"
"58","Abies mariesii","W","0;0;1"
"59","Abies marocana","W","0;0;1"
"60","Abies nebrodensis","W","0;0;1"
"61","Abies nephrolepis","W","0;0;11"
"62","Abies nordmanniana","W","0;0;1"
"63","Abies numidica","W","0;0;1"
"64","Abies pardei","W","0;0;1"
"65","Abies pindrow","W","0;0;2"
"66","Abies pinsapo","W","0;0;2"
"67","Abies procera","W","0;0;3"
"68","Abies recurvata","W","0;0;2"
"69","Abies religiosa","W","0;0;2"
"70","Abies sachalinensis","W","0;0;2"
"71","Abies shastensis","W","0;0;1"
"72","Abies sibirica","W","0;0;1"
"73","Abies spectabilis","W","0;0;4"
"74","Abies squamata","W","0;0;1"
"75","Abies veitchii","W","0;0;1"
"76","Abies vejarii","W","0;0;1"
"77","Abildgaardia ovata","H","1;0;0"
"78","Abobra tenuifolia","H","1;0;0"
"79","Abolboda poarchon","H","1;0;0"
"80","Abrahamia deflexa","W","0;0;1"
"81","Abroma augustum","W","0;0;1"
"82","Abromeitiella lorentziana","H","1;0;0"
"83","Abronia bigelovii","H","1;0;0"
"84","Abronia carletonii","H","1;0;0"
"85","Abronia villosa","H","3;0;0"
"86","Abrophyllum ornans","W","0;0;4"
"87","Abrotanella emarginata","variable","0;1;0"
"88","Abrotanella linearis","H","1;0;0"
"89","Abrus precatorius","W","1;0;3"
"90","Abuta grandifolia","W","0;1;4"
"91","Abuta grisebachii","W","0;0;1"
"92","Abuta imene","W","0;0;1"
"93","Abuta pahni","W","0;0;2"
"94","Abuta panamensis","W","0;0;8"
"95","Abuta panurensis","W","0;0;1"
"96","Abuta racemosa","W","0;0;2"
"97","Abuta rufescens","W","0;1;2"
"98","Abuta sandwithiana","W","0;0;1"
"99","Abuta solimoesensis","W","0;0;1"
"100","Abutilon angulatum","W","0;0;1"
