"","Date","TrapID","New_Recap","Species","Sex","Age","Weight","Comments","NA","NA","NA","NA","NA","Pregnant","Lactating","Breeding"
"1",2011-05-16,"1C","New","Peromyscus maniculatus",NA,"Adult",NA,"Escaped,Rep_Con: NA,Tag1: NA,Tag2: NA",NA,NA,NA,NA,NA,NA,NA,NA
"2",2011-05-16,"1E","New","Peromyscus maniculatus",NA,NA,NA,"Escaped,Rep_Con: NA,Tag1: NA,Tag2: NA",NA,NA,NA,NA,NA,NA,NA,NA
"3",2011-05-16,"2G","New","Peromyscus maniculatus","Female","Adult",16,"Agg=1, Escaped,Rep_Con: NA,Tag1: NA,Tag2: NA",NA,NA,NA,NA,NA,NA,NA,NA
"4",2011-05-16,"2I","New","Peromyscus maniculatus","Male","Adult",19,"Agg=2, Hair,Rep_Con: NA,Tag1: NA,Tag2: NA",NA,NA,NA,NA,NA,NA,NA,NA
"5",2011-05-16,"1T","New","Tamias amoenus","Female","Adult",NA,"Hair,Rep_Con: NA,Tag1: NA,Tag2: NA",NA,NA,NA,NA,NA,NA,NA,NA
"6",2011-05-16,"1L","New","Peromyscus maniculatus","Female","Adult",21,"Agg=1, Hair,Rep_Con: NA,Tag1: NA,Tag2: NA",NA,NA,NA,NA,NA,NA,NA,NA
"7",2011-05-16,"1J","New","Peromyscus maniculatus","Female","Adult",20.5,"Agg=3, Hair,Rep_Con: NA,Tag1: NA,Tag2: NA",NA,NA,NA,NA,NA,NA,NA,NA
"8",2011-05-16,"2A","New","Peromyscus maniculatus","Female","Adult",15.5,"Agg=3, Hair,Rep_Con: NA,Tag1: NA,Tag2: NA",NA,NA,NA,NA,NA,NA,NA,NA
"9",2011-05-16,"2B","New","Peromyscus maniculatus","Female","Adult",16.5,"Agg=3, Hair,Rep_Con: NA,Tag1: NA,Tag2: NA",NA,NA,NA,NA,NA,NA,NA,NA
"10",2011-05-16,"2C","Recapture","Peromyscus maniculatus","Female","Adult",16,"Agg=4, Hair,Rep_Con: NA,Tag1: NA,Tag2: NA",NA,NA,NA,NA,NA,NA,NA,NA
